intervention_name,mechanism,notes
lecanemab,Amyloid-beta targeting,Starter curated mapping; verify before publication
donanemab,Amyloid-beta targeting,Starter curated mapping; verify before publication
aducanumab,Amyloid-beta targeting,Starter curated mapping; verify before publication
remternetug,Amyloid-beta targeting,Starter curated mapping; verify before publication
donepezil,Cholinergic / symptomatic,Starter curated mapping
rivastigmine,Cholinergic / symptomatic,Starter curated mapping
galantamine,Cholinergic / symptomatic,Starter curated mapping
memantine,Glutamatergic / NMDA,Starter curated mapping
semaglutide,Metabolic / insulin / GLP-1,Starter curated mapping
liraglutide,Metabolic / insulin / GLP-1,Starter curated mapping
blarcamesine,Synaptic / neuroprotective,Starter mapping; verify exact pharmacology before publication
